Timestamp,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5
322.641,0,0,0,0,0,0
322.641,0,0,0,0,0,0
322.641,0,0,0,0,0,0
322.641,0.00469689,-0.0133704,0.00694931,0.0264015,-0.0200121,-0.00840371
322.741,0.00469689,-0.0133704,0.00694931,0.0264015,-0.0200121,-0.00840371
322.741,0.00469896,-0.0133034,0.00677283,0.0265087,-0.0200143,-0.00838964
322.741,0.00470426,-0.0132768,0.00670838,0.0265436,-0.0200173,-0.00836836
322.841,0.00470807,-0.0132515,0.0066458,0.0265787,-0.0200195,-0.00835256
322.841,0.0029298,-0.0132579,0.00657756,0.0266484,-0.0200273,-0.00852245
322.841,0.00293577,-0.0132213,0.00648446,0.0267012,-0.020031,-0.00850052
322.941,0.00471473,-0.0131436,0.00637243,0.0267375,-0.0200261,-0.00830647
322.941,0.00471783,-0.0130861,0.00622415,0.0268261,-0.0200283,-0.00829141
322.941,0.00472311,-0.0130484,0.00613118,0.0268786,-0.0200312,-0.00827019
323.041,0.00472716,-0.0130226,0.00606859,0.0269134,-0.0200333,-0.00825418
323.041,0.00477118,-0.0129634,0.00591919,0.0270017,-0.020035,-0.00823479
323.041,0.00686438,-0.0128568,0.00576753,0.0270579,-0.0200207,-0.00801055
323.141,0.00472068,-0.0129013,0.00576536,0.0270884,-0.0200403,-0.00820311
323.141,0.00472449,-0.012832,0.00558854,0.027194,-0.0200422,-0.00818738
323.141,0.00473026,-0.0128044,0.00552412,0.0272282,-0.0200449,-0.00816571
323.241,0.0046647,-0.0127807,0.00546349,0.0272625,-0.0200477,-0.00815612
323.241,0.00268933,-0.0127921,0.00537087,0.0273448,-0.0200726,-0.00832627
323.241,0.0043531,-0.0126944,0.00523073,0.0274014,-0.020056,-0.00814809
323.341,0.00347621,-0.0127005,0.00519331,0.0274326,-0.0200697,-0.00821436
323.341,0.0015085,-0.0127151,0.00510019,0.0275141,-0.0200991,-0.0083785
323.341,0.00354739,-0.0126009,0.00494927,0.027572,-0.0200749,-0.00816817
323.441,0.00104559,-0.0126705,0.00495833,0.0275969,-0.0201145,-0.00838197
323.441,0.00184975,-0.0125816,0.00478565,0.0276877,-0.0201064,-0.00828774
323.441,0.00154923,-0.012556,0.00470164,0.0277364,-0.0201167,-0.00829272
323.541,0.00366252,-0.0124465,0.004579,0.0277775,-0.0200856,-0.00808582
323.541,0.0036641,-0.0124427,0.00457479,0.0277746,-0.0200891,-0.00807107
323.541,0.000984364,-0.0124473,0.00438463,0.0279217,-0.0201409,-0.00828132
323.641,0.00195976,-0.0123922,0.00432343,0.0279414,-0.020126,-0.00817969
323.641,0.00432048,-0.0122332,0.00410585,0.0280388,-0.0200837,-0.0079531
323.641,0.00515076,-0.0121583,0.00398955,0.0280921,-0.0200709,-0.00785955
323.741,0.000654948,-0.0123254,0.00405644,0.028105,-0.020165,-0.00823231
323.741,0.000667083,-0.0122662,0.00390611,0.0281922,-0.0201691,-0.00820832
323.741,0.00146558,-0.0121928,0.00379031,0.0282452,-0.0201574,-0.00811716
323.841,-0.00075182,-0.0122664,0.00379213,0.0282664,-0.0202115,-0.0082882
323.841,0.00348669,-0.0120142,0.0035189,0.0283757,-0.0201173,-0.00790874
323.841,-0.000216642,-0.0121463,0.00353379,0.0284039,-0.0202118,-0.00819491
323.941,0.00173914,-0.0120294,0.0034148,0.0284471,-0.020168,-0.00801508
323.941,0.00215508,-0.0119492,0.00325249,0.0285357,-0.0201613,-0.00795885
323.941,0.00284549,-0.0118768,0.00313965,0.0285886,-0.020148,-0.00787951
324.041,-0.000381078,-0.0120058,0.00317109,0.0286023,-0.0202366,-0.00812414
324.041,0.000391687,-0.0119086,0.002998,0.0286935,-0.0202204,-0.00803687
324.041,0.00365797,-0.0117074,0.00281006,0.0287614,-0.0201351,-0.00775338
324.141,-0.000248879,-0.0118757,0.00286171,0.0287692,-0.0202494,-0.00804617
324.141,0.00135195,-0.0117343,0.00266437,0.0288655,-0.0202071,-0.00789549
324.141,-0.00253275,-0.0118948,0.00268513,0.0288881,-0.0203297,-0.00817324
324.241,-0.000840571,-0.0117816,0.0025733,0.0289308,-0.0202837,-0.00802387
324.241,0.00207836,-0.0115678,0.00233656,0.0290366,-0.0201973,-0.00777459
324.241,-0.000774861,-0.0116796,0.00232757,0.0290642,-0.0202943,-0.00796723
324.341,-0.00355749,-0.0118023,0.00234681,0.0290766,-0.0203891,-0.00815887
324.341,0.000595411,-0.011518,0.0020731,0.0291928,-0.0202574,-0.00781931
324.341,0.000804337,-0.0114669,0.00197439,0.0292402,-0.0202577,-0.00778
324.441,0.00253359,-0.0113441,0.00186115,0.0292842,-0.0202024,-0.00763495
324.441,-0.00220675,-0.011547,0.0018501,0.0293332,-0.0203731,-0.00795474
324.441,-0.00158203,-0.0114728,0.00173836,0.0293869,-0.0203567,-0.00788294
324.541,-0.000779499,-0.0114005,0.00165227,0.0294234,-0.0203332,-0.00780704
324.541,0.000963921,-0.0112381,0.00144932,0.0295222,-0.0202733,-0.00765612
324.541,-0.00184188,-0.0113616,0.00143939,0.0295467,-0.0203857,-0.00782762
324.641,-0.00135419,-0.0113063,0.0013625,0.0295816,-0.0203721,-0.00777468
324.641,0.00127287,-0.0110879,0.001133,0.0296881,-0.0202744,-0.00756542
324.641,0.00128243,-0.0110464,0.00103989,0.0297343,-0.02028,-0.00754011
324.741,-0.00219074,-0.011229,0.00108048,0.0297366,-0.0204236,-0.00775691
324.741,-0.00136085,-0.0111746,0.00105261,0.0297385,-0.0203946,-0.00768882
324.741,-0.000599195,-0.0110296,0.000788448,0.0298812,-0.0203708,-0.00759417
324.841,-0.00189759,-0.0110832,0.000764617,0.0299003,-0.0204306,-0.00766075
324.841,0.000339352,-0.0108798,0.000546173,0.0300046,-0.0203396,-0.0074854
324.841,-0.00312523,-0.0110599,0.000556469,0.0300196,-0.0204979,-0.00768147
324.941,-0.00487627,-0.0111455,0.000546132,0.0300342,-0.0205809,-0.00777319
324.941,-0.000427465,-0.0107959,0.000260684,0.0301603,-0.0203874,-0.00745942
324.941,-0.0024522,-0.0108878,0.000228267,0.0301859,-0.0204881,-0.00755911
325.041,-0.00155527,-0.0108012,0.000138847,0.0302243,-0.0204521,-0.00748405
325.041,0.000319155,-0.0106127,-6.93598e-05,0.030326,-0.0203692,-0.00733919
325.041,-0.00277857,-0.01078,-6.96428e-05,0.0303421,-0.0205232,-0.00749863
325.141,0.000518979,-0.0105286,-0.000231226,0.0304036,-0.02037,-0.00728189
325.141,-0.00329776,-0.0107261,-0.000268349,0.0304497,-0.0205613,-0.00747571
325.141,-0.00185056,-0.0105853,-0.000405539,0.0305107,-0.0204963,-0.00736287
325.241,6.76227e-05,-0.0104235,-0.00052588,0.0305588,-0.020406,-0.00723276
325.241,-0.00193005,-0.0105582,-0.000468933,0.0305331,-0.020511,-0.00733645
325.241,-0.0029876,-0.0105334,-0.000679309,0.0306574,-0.0205732,-0.00734573
325.341,-0.00154059,-0.0104019,-0.000785773,0.0307013,-0.0205038,-0.00724511
325.341,-0.00161407,-0.010343,-0.000935764,0.0307838,-0.0205129,-0.00721613
325.341,-0.000505272,-0.01022,-0.00106292,0.0308405,-0.0204604,-0.00712834
325.441,-0.00113336,-0.0102371,-0.00110661,0.0308634,-0.020499,-0.00714209
325.441,-0.00174701,-0.0102178,-0.00124025,0.0309397,-0.0205375,-0.00714125
325.441,-0.00192839,-0.0101891,-0.00132841,0.030983,-0.0205543,-0.00712191
325.541,-0.00672776,-0.0105218,-0.00124581,0.0309613,-0.0208279,-0.00734744
325.541,-0.000552845,-0.0100521,-0.00143563,0.0310191,-0.0204888,-0.0070199
325.541,-0.000517231,-0.0099447,-0.00168073,0.0311551,-0.0204912,-0.00696829
325.641,-0.00232771,-0.010055,-0.00168859,0.0311649,-0.0206004,-0.00703698
325.641,-0.00199699,-0.00996457,-0.00185095,0.0312512,-0.0205864,-0.00698559
325.641,-0.00516398,-0.0101711,-0.0018484,0.0312606,-0.0207816,-0.00710606
325.741,-0.00169546,-0.00986867,-0.00201706,0.0313279,-0.0205807,-0.00692135
325.741,-0.00117409,-0.00976111,-0.00218572,0.0314161,-0.0205542,-0.00686233
325.741,-0.00441862,-0.00997926,-0.00218032,0.0314239,-0.0207597,-0.00697953
325.841,-0.0049325,-0.00999225,-0.00222794,0.031447,-0.0207974,-0.00698061
325.841,-0.00339437,-0.00980324,-0.00242797,0.0315481,-0.0207079,-0.0068732
325.841,-0.00334305,-0.00975617,-0.00252363,0.0315918,-0.0207133,-0.00684064
325.941,-0.00405597,-0.00978606,-0.00256497,0.031612,-0.0207646,-0.00684938
325.941,-0.00204168,-0.00955274,-0.00277972,0.0317182,-0.0206408,-0.00672652
325.941,-0.0036299,-0.00964313,-0.00282504,0.0317428,-0.020752,-0.00676122
326.041,-0.00502465,-0.00973216,-0.0028455,0.031755,-0.0208492,-0.00679547
326.041,-0.00594031,-0.00974745,-0.00297032,0.0318273,-0.020917,-0.00678942
326.041,-0.00376184,-0.00951706,-0.00313147,0.0318966,-0.0207803,-0.00667292
326.141,-0.00581154,-0.00966519,-0.00313234,0.0318997,-0.0209251,-0.00672902
326.141,-0.00749331,-0.00975023,-0.00323343,0.0319627,-0.0210475,-0.00674737
326.141,-0.00747461,-0.00970693,-0.00332891,0.0320062,-0.0210565,-0.00671268
326.241,-0.00315635,-0.00929474,-0.00352554,0.0320855,-0.020765,-0.00653442
326.241,-0.0135125,-0.0102057,-0.0032127,0.0319501,-0.021491,-0.00689889
326.241,-0.0065369,-0.0094903,-0.00366983,0.0321725,-0.021016,-0.00657616
326.341,-0.00567059,-0.009382,-0.00376064,0.0322087,-0.0209632,-0.00652413
326.341,-0.00686782,-0.00942823,-0.00387703,0.0322769,-0.0210567,-0.00651821
326.341,-0.00969518,-0.00964708,-0.00388459,0.0322849,-0.0212724,-0.0065734
326.441,-0.00845942,-0.00950388,-0.00398693,0.0323272,-0.0211907,-0.00650986
326.441,-0.0113862,-0.00971849,-0.00404939,0.0323752,-0.0214162,-0.00654815
326.441,-0.0109488,-0.00963651,-0.00415881,0.0324233,-0.021396,-0.00649784
326.541,-0.0102091,-0.00953753,-0.00424656,0.0324584,-0.0213505,-0.00645108
326.541,-0.0111313,-0.00956774,-0.00437105,0.032532,-0.0214301,-0.00642386
326.541,-0.00968932,-0.00938693,-0.0045121,0.0325918,-0.0213326,-0.00634734
326.641,-0.0113169,-0.00951532,-0.00452645,0.0325971,-0.0214672,-0.00636574
326.641,-0.0141388,-0.00973548,-0.0045911,0.032647,-0.0216969,-0.00638236
326.641,-0.00916192,-0.00920382,-0.00484304,0.032752,-0.021321,-0.00621913
326.741,-0.0165933,-0.00990969,-0.00467757,0.0326826,-0.021916,-0.00637567
326.741,-0.0169611,-0.00989813,-0.00481679,0.0327666,-0.0219581,-0.00632049
326.741,-0.0166974,-0.00983137,-0.00492363,0.0328098,-0.021954,-0.00627313
326.841,-0.0157154,-0.00970329,-0.00502112,0.0328468,-0.0218876,-0.00622342
326.841,-0.0141536,-0.0094927,-0.00522215,0.0329552,-0.0217725,-0.00612772
326.841,-0.0160831,-0.00964973,-0.00525992,0.03297,-0.0219464,-0.00612663
326.941,-0.0129293,-0.00929517,-0.00542452,0.0330356,-0.0216985,-0.00603583
326.941,-0.0188284,-0.00985769,-0.00539229,0.0330464,-0.0222005,-0.00608518
326.941,-0.0188002,-0.0098167,-0.00549102,0.0330891,-0.0222142,-0.00604046
327.041,-0.0220672,-0.0101325,-0.00545725,0.0330708,-0.0225027,-0.00606835
327.041,-0.0183066,-0.00969129,-0.00572469,0.033212,-0.0221979,-0.00593334
327.041,-0.0201977,-0.00985265,-0.00576621,0.0332251,-0.0223787,-0.00591979
327.141,-0.0200704,-0.00981021,-0.00583852,0.0332507,-0.0223815,-0.00588764
327.141,-0.023059,-0.0100946,-0.00589391,0.0333038,-0.0226551,-0.00585714
327.141,-0.0196635,-0.00968327,-0.00610176,0.0333875,-0.022378,-0.00576495
327.241,-0.0205367,-0.00974944,-0.00614372,0.0333991,-0.0224688,-0.0057462
327.241,-0.0216399,-0.00983092,-0.00625851,0.0334768,-0.0225807,-0.00568546
327.241,-0.0214257,-0.00976714,-0.00636643,0.0335189,-0.0225806,-0.00563651
327.341,-0.0274792,-0.0104179,-0.00624671,0.033464,-0.0231364,-0.00566938
327.341,-0.0241896,-0.0106093,-0.00948938,0.0336023,-0.0227342,-0.00558755
327.341,-0.0238342,-0.008009,-0.014197,0.0331895,-0.022633,-0.00546716
327.441,-0.0245972,-0.00863497,-0.018567,0.0331504,-0.0225401,-0.00548308
327.441,-0.0256518,-0.00695702,-0.0252316,0.0327861,-0.0224628,-0.00538048
327.441,-0.0256161,-0.00691394,-0.0253158,0.0328041,-0.0224628,-0.00534207
327.541,-0.0253754,-0.0104477,-0.0259277,0.0332657,-0.0223108,-0.00545249
327.541,-0.0250882,-0.0103309,-0.02824,0.0332532,-0.0222059,-0.00538823
327.541,-0.025053,-0.0108404,-0.0280655,0.0333506,-0.0221898,-0.00537914
327.641,-0.0248195,-0.00822133,-0.0315647,0.0329287,-0.0221167,-0.00528119
327.641,-0.0248543,-0.00999248,-0.0297069,0.0332739,-0.0221312,-0.00527497
327.641,-0.0243895,-0.00573791,-0.0361658,0.0325664,-0.0219755,-0.00511705
327.741,-0.0245422,-0.0109899,-0.0303233,0.0334346,-0.0220372,-0.00527547
327.741,-0.0224652,-0.00667526,-0.0345022,0.0328687,-0.02182,-0.00505865
327.741,-0.0231666,-0.00733924,-0.0342975,0.0329663,-0.0218646,-0.00506222
327.841,-0.0204919,-0.0054855,-0.0361504,0.0327618,-0.0216008,-0.00497217
327.841,-0.0230652,-0.00617779,-0.0371965,0.0328072,-0.0217723,-0.00495453
327.841,-0.0242596,-0.00729332,-0.0345488,0.0330243,-0.021939,-0.00496526
327.941,-0.0242375,-0.00741258,-0.03453,0.0330572,-0.0219274,-0.00495578
327.941,-0.0224041,-0.00409776,-0.0382404,0.0326304,-0.0217208,-0.00477172
327.941,-0.0223676,-0.00404434,-0.0383326,0.0326481,-0.0217075,-0.00474454
328.041,-0.0193715,-0.00543472,-0.036397,0.0329867,-0.0214588,-0.0047563
328.041,-0.0170432,-0.0034709,-0.0383475,0.0327999,-0.0212333,-0.00461115
328.041,-0.0241342,-0.00908851,-0.0328428,0.0335168,-0.0218969,-0.00482708
