Timestamp,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5
322.841,0,0,0,0,0,0
322.841,0,0,0,0,0,0
322.841,0.00502863,-0.0336429,0.0174985,0.0661578,-0.0501094,-0.0217366
322.841,0.00503855,-0.0335126,0.0171352,0.0663907,-0.0501095,-0.0217267
322.941,0.00509374,-0.0331441,0.0161721,0.0669352,-0.0501593,-0.0215213
322.941,0.0061775,-0.0329795,0.0157785,0.0671676,-0.0501541,-0.0214045
322.941,0.00545688,-0.0328419,0.0153995,0.0673737,-0.0501917,-0.0213483
323.041,0.00674019,-0.0327137,0.0151549,0.0674734,-0.0502066,-0.0211277
323.041,0.0067918,-0.0322803,0.0140276,0.0681395,-0.0502346,-0.0209764
323.041,0.00792262,-0.0320151,0.0134234,0.0684679,-0.0502441,-0.0207654
323.141,0.00794624,-0.031923,0.0132135,0.0685666,-0.0502636,-0.020667
323.141,0.00800011,-0.0314782,0.0120866,0.0692247,-0.0502883,-0.0205137
323.141,0.0093834,-0.0311922,0.0114742,0.0695527,-0.0502864,-0.0202837
323.241,0.00988737,-0.0310777,0.0112492,0.0696553,-0.0502962,-0.0201409
323.241,0.00994755,-0.0306188,0.0101228,0.0703033,-0.0503147,-0.0199877
323.241,0.010584,-0.0303523,0.00953193,0.0706255,-0.0503166,-0.0198264
323.341,0.0117829,-0.0302004,0.00928664,0.0707294,-0.0503045,-0.019624
323.341,0.0123993,-0.029703,0.00814412,0.0713744,-0.0503046,-0.0194261
323.341,0.0130558,-0.0294249,0.00755249,0.071694,-0.0502985,-0.0192665
323.441,0.013262,-0.0293116,0.0073337,0.0717961,-0.0503031,-0.0191479
323.441,0.0139521,-0.0288691,0.00637018,0.0723249,-0.0502936,-0.0189483
323.441,0.0107199,-0.0287121,0.00571058,0.0727255,-0.0504033,-0.019086
323.541,0.0142842,-0.0284192,0.00539468,0.0728464,-0.0503002,-0.0187114
323.541,0.0155491,-0.027868,0.00424304,0.0734841,-0.0502616,-0.0185024
323.541,0.0165662,-0.027539,0.00362842,0.0737997,-0.0502321,-0.0182876
323.641,0.0172619,-0.0273864,0.00339257,0.0739046,-0.0502086,-0.0181321
323.641,0.0178948,-0.0268553,0.00226526,0.0745237,-0.0501835,-0.0179797
323.641,0.0188097,-0.0265158,0.00165514,0.0748267,-0.0501414,-0.017774
323.741,0.0157171,-0.0229465,-0.00185347,0.0746124,-0.0502595,-0.0178179
323.741,0.0124511,-0.0164085,-0.00863194,0.0747089,-0.0504128,-0.0177955
323.741,0.011987,-0.0113407,-0.0136125,0.0745971,-0.0504439,-0.0175874
323.841,0.00845671,-0.00591665,-0.0188028,0.0741975,-0.0506187,-0.017613
323.841,0.00612082,-0.00154432,-0.0234264,0.074323,-0.0507519,-0.0174698
323.841,0.00425887,0.00307193,-0.0279544,0.0741254,-0.0508691,-0.0173143
323.941,0.000761571,0.00499245,-0.0310177,0.0740038,-0.0510466,-0.0173694
323.941,-0.00170994,0.00391751,-0.0322004,0.0745756,-0.0511759,-0.0172583
323.941,-0.00281661,0.00402682,-0.0345114,0.0748171,-0.0512302,-0.0171139
324.041,-0.00536622,0.00311912,-0.0349416,0.0749312,-0.0513775,-0.0171525
324.041,-0.00732611,0.00251153,-0.0370572,0.0754719,-0.0514776,-0.0169607
324.041,-0.0101354,0.00141808,-0.0381537,0.0757594,-0.0516469,-0.0169009
324.141,-0.0108528,0.000661769,-0.0389811,0.0758923,-0.0516889,-0.016846
324.141,-0.0118161,0.000699681,-0.0410344,0.0763546,-0.0517466,-0.0165592
324.141,-0.0148569,-0.000274222,-0.0419531,0.0765996,-0.0519475,-0.0164887
324.241,-0.0185579,-0.000960381,-0.0436256,0.0766785,-0.052167,-0.0165521
324.241,-0.0187535,-0.00119466,-0.044944,0.0771549,-0.0521894,-0.0162035
