Timestamp,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5
322.841,0,0,0,0,0,0
322.841,0,0,0,0,0,0
322.841,0.00197785,-0.0337233,0.0176929,0.0660563,-0.0501276,-0.0220504
322.841,0.00199429,-0.0335944,0.0173276,0.0662925,-0.0501276,-0.022034
322.941,0.00200271,-0.0335759,0.0173032,0.0662684,-0.0501576,-0.0219503
322.941,0.00205351,-0.0332329,0.0163649,0.0668337,-0.0501875,-0.0218245
322.941,0.00210068,-0.0329459,0.015601,0.0672712,-0.0502269,-0.0216772
323.041,0.00211832,-0.032861,0.0153941,0.0673641,-0.0502561,-0.0215845
323.041,0.0119464,-0.0321168,0.0140039,0.0680723,-0.0502056,-0.0205182
323.041,0.0119755,-0.0318799,0.0134259,0.0683868,-0.0502327,-0.0203894
323.141,0.00660931,-0.0319803,0.0133714,0.068477,-0.050317,-0.0208007
323.141,0.00308302,-0.0317086,0.0124842,0.0689444,-0.050277,-0.0209692
323.141,0.00599112,-0.0313011,0.0116466,0.0693928,-0.0502549,-0.0205858
323.241,0.00544763,-0.0312247,0.0114473,0.0694764,-0.050296,-0.0205114
323.241,0.00522987,-0.0308657,0.0105183,0.0700204,-0.050323,-0.0204042
323.241,0.00228947,-0.0306928,0.00984854,0.0704376,-0.0504078,-0.0205337
323.341,0.00735835,-0.0303697,0.00948844,0.070546,-0.0503305,-0.0199765
323.341,0.0051259,-0.0300932,0.00861527,0.0710759,-0.0504016,-0.0200345
323.341,0.00755779,-0.029669,0.00778967,0.0715176,-0.0503591,-0.0197115
323.441,0.00519508,-0.0296788,0.00764264,0.0715898,-0.0504488,-0.0197763
323.441,0.0060837,-0.0292516,0.00667947,0.0721291,-0.0504456,-0.0195683
323.441,-0.00425316,-0.0294773,0.00622507,0.072482,-0.0507875,-0.0202261
323.541,0.00520558,-0.0288778,0.00573659,0.072623,-0.0505254,-0.0193825
323.541,0.00703105,-0.0283855,0.00473889,0.0731726,-0.0504808,-0.0191008
323.541,0.00437064,-0.0282141,0.00406117,0.073569,-0.0505956,-0.0191598
323.641,0.00509218,-0.0280644,0.00382484,0.0736574,-0.0505956,-0.0189807
323.641,0.00573391,-0.0276289,0.00286435,0.0741882,-0.0505909,-0.0187847
323.641,0.00297214,-0.0274712,0.00218836,0.0745786,-0.0507239,-0.0188289
323.741,0.00570809,-0.0271924,0.00189282,0.0746808,-0.0506385,-0.0185196
323.741,0.00378066,-0.0269093,0.00100684,0.0751852,-0.0507412,-0.0184855
323.741,0.00409238,-0.0265592,0.000237559,0.0755998,-0.0507478,-0.0183165
323.841,0.00445174,-0.0264221,1.25848e-05,0.0756792,-0.0507592,-0.0181669
323.841,0.00414882,-0.0260321,-0.000922954,0.0761925,-0.0507943,-0.0180173
323.841,0.00356763,-0.0257368,-0.00166622,0.0765936,-0.0508443,-0.0178962
323.941,0.000768421,-0.0258188,-0.00179636,0.0766402,-0.0510156,-0.0179259
323.941,-0.000169938,-0.0254771,-0.00271532,0.0771438,-0.0510927,-0.0177888
323.941,0.000258969,-0.0251101,-0.0034921,0.0775538,-0.0510949,-0.0175959
324.041,-0.00387877,-0.025305,-0.0035801,0.0775756,-0.0513622,-0.0176815
324.041,-0.00544947,-0.0250202,-0.00448313,0.0780714,-0.051488,-0.0175452
324.041,-0.0045209,-0.0246152,-0.00527826,0.0784871,-0.0514648,-0.0173113
324.141,-0.00973198,-0.0249137,-0.00533309,0.0784836,-0.051827,-0.0174266
324.141,-0.0107451,-0.0245984,-0.00625602,0.0789871,-0.0519335,-0.0172282
324.141,-0.0087494,-0.0241036,-0.0070868,0.0794155,-0.0518434,-0.0169358
324.241,-0.0139236,-0.0244206,-0.00714378,0.0793994,-0.0522366,-0.0170229
324.241,-0.0218418,-0.0247194,-0.00785541,0.0798213,-0.0528252,-0.0170488
