Timestamp,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5
322.741,-0.092108,-0.1003,0.0204307,0.0799422,-7.38728e-05,-0.092108
322.841,-0.0922522,-0.100183,0.0202065,0.0800498,-7.40575e-05,-0.0922522
322.841,-0.0956494,-0.097117,0.0181398,0.0801099,0.00118107,-0.0951367
322.841,-0.0918661,-0.0976718,0.0181453,0.0797873,-6.67002e-05,-0.0915727
322.841,-0.0926527,-0.0884524,0.0137986,0.0773252,-5.28823e-05,-0.091253
322.941,-0.0871494,-0.0894833,0.0157016,0.0753663,-0.00134509,-0.0862601
322.941,-0.0854781,-0.088189,0.0153587,0.0742462,-0.00143436,-0.0848853
322.941,-0.0893759,-0.0831132,0.0120304,0.0739356,-7.0798e-05,-0.0879524
323.041,-0.0845074,-0.0911242,0.0164628,0.073765,-0.00146467,-0.0833338
323.041,-0.0848563,-0.0908308,0.0159147,0.074015,-0.00146858,-0.0836828
323.041,-0.0852125,-0.0905435,0.0153692,0.0742674,-0.00146736,-0.0840389
323.141,-0.083472,-0.0848587,0.0122068,0.072704,-8.57804e-05,-0.083472
323.141,-0.0838266,-0.084572,0.0116768,0.0729439,-8.38712e-05,-0.0838266
323.141,-0.0879169,-0.0696915,0.00520817,0.0688869,0.00139231,-0.0862206
323.241,-0.0810023,-0.0798837,0.0105733,0.0693558,-8.05591e-05,-0.0810022
323.241,-0.0798707,-0.0785022,0.0090449,0.0695042,-8.6507e-05,-0.0798707
323.241,-0.0843234,-0.0728714,0.0056528,0.0689953,0.00150789,-0.0834711
323.341,-0.0850313,-0.0722377,0.00461492,0.0694112,0.00149405,-0.0841791
323.341,-0.0839407,-0.0796061,0.00909836,0.0690612,0.00206389,-0.0830727
323.341,-0.0802913,-0.068639,0.004649,0.0656649,0.00120543,-0.0797658
323.441,-0.0796097,-0.0686174,0.00418756,0.065725,0.00142233,-0.0794029
323.441,-0.0786698,-0.0657574,0.00366924,0.0638435,0.00120322,-0.0781437
323.441,-0.0778503,-0.0659976,0.00347434,0.0638378,0.00142053,-0.0776497
323.541,-0.078194,-0.0656801,0.00297991,0.0640237,0.00141103,-0.0779935
323.541,-0.0720074,-0.0567223,-5.80841e-05,0.0601551,-8.53895e-05,-0.0720181
323.541,-0.0812103,-0.0669222,0.00335641,0.0636205,0.00322378,-0.0801322
323.641,-0.0809582,-0.0653704,0.00218528,0.0635092,0.00382148,-0.0807243
323.641,-0.0758791,-0.0595006,0.00124321,0.0598588,0.00201366,-0.0753412
323.641,-0.0683006,-0.0613784,0.00288525,0.0585717,-0.000106605,-0.0683006
323.741,-0.0720345,-0.0671563,0.00458713,0.0604842,0.00142487,-0.0718263
