Timestamp,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5
323.141,-0.092108,-0.1003,0.0204307,0.0799422,-7.38728e-05,-0.092108
323.141,-0.092108,-0.1003,0.0204307,0.0799422,-7.38728e-05,-0.092108
323.141,-0.092108,-0.1003,0.0204307,0.0799422,-7.38728e-05,-0.092108
323.141,-0.0923966,-0.100066,0.0199824,0.0801573,-7.42434e-05,-0.0923966
323.241,-0.0929764,-0.0995989,0.0190875,0.080585,-7.499e-05,-0.0929764
323.241,-0.093762,-0.0934104,0.0159616,0.0786098,0.00138799,-0.0935078
323.241,-0.102648,-0.0976606,0.0142127,0.0831538,0.00513116,-0.101708
323.341,-0.0852938,-0.0867888,0.0136164,0.0745956,-0.00144918,-0.0847006
323.341,-0.0996293,-0.0816815,0.00864363,0.0769302,0.00407441,-0.0980365
323.341,-0.0905965,-0.0848581,0.0108177,0.075591,0.00132872,-0.0897696
323.441,-0.0902853,-0.0905728,0.014049,0.0754911,0.00135107,-0.0891777
323.441,-0.0882486,-0.0827732,0.00966212,0.0743667,0.00139675,-0.0880129
323.441,-0.0832803,-0.083486,0.0106267,0.0729586,-8.40523e-05,-0.0832803
323.541,-0.0826236,-0.0811709,0.0100511,0.0714349,-0.000288207,-0.082333
323.541,-0.0856206,-0.0863978,0.0116262,0.0731362,0.00131256,-0.0854163
323.541,-0.0859776,-0.0861212,0.0111465,0.0733438,0.00131739,-0.0857734
323.641,-0.086469,-0.0857313,0.0104617,0.0736487,0.00132847,-0.0862647
323.641,-0.0846764,-0.0733677,0.00572834,0.0691815,0.00174026,-0.0841286
323.641,-0.0850109,-0.0730875,0.00528173,0.0693567,0.00173775,-0.0844634
323.741,-0.0773493,-0.0716943,0.00585079,0.0663253,-0.000292112,-0.0770376
323.741,-0.080519,-0.0779222,0.00802549,0.068102,0.00138855,-0.0803146
323.741,-0.0808281,-0.077683,0.00763072,0.0682621,0.00139336,-0.0806236
323.841,-0.0789524,-0.0754466,0.00726849,0.0663295,0.00141816,-0.0787472
323.841,-0.0792595,-0.0751942,0.006837,0.066516,0.00142691,-0.0790542
323.841,-0.0772288,-0.0730727,0.00671066,0.0644573,0.00144757,-0.0770227
323.841,-0.0776221,-0.0727637,0.00619424,0.0646746,0.0014594,-0.0774159
323.941,-0.0755231,-0.0706359,0.0060689,0.0626061,0.00147864,-0.0753159
323.941,-0.0758122,-0.0704308,0.00574109,0.0627362,0.00148761,-0.0756049
324.041,-0.0694837,-0.061312,0.00262967,0.0588093,-3.83727e-05,-0.0694838
324.041,-0.0697223,-0.0611147,0.00231211,0.058932,-3.58681e-05,-0.0697224
324.041,-0.0785017,-0.0606149,0.000855821,0.0599313,0.00344913,-0.077417
324.141,-0.0669188,-0.0576307,0.000938025,0.0568191,-3.50534e-05,-0.0669189
324.141,-0.0755686,-0.0586911,0.000993396,0.0579262,0.00351712,-0.075701
324.141,-0.0758047,-0.0585001,0.00073165,0.0580075,0.00351646,-0.0759372
324.141,-0.0683786,-0.0490396,-0.00263601,0.0539495,0.00116392,-0.0678614
324.241,-0.0640195,-0.063531,0.00482764,0.0552104,8.49296e-05,-0.0639646
324.241,-0.0628775,-0.0524817,-2.07901e-05,0.0526432,-3.65094e-05,-0.0628776
324.341,-0.0698289,-0.0591704,0.00261417,0.0545849,0.0024969,-0.0692448
324.341,-0.0713988,-0.0523777,-0.00101845,0.0537049,0.00367649,-0.071547
324.341,-0.0716222,-0.0522049,-0.00124194,0.0537701,0.00367866,-0.0717705
324.441,-0.0667961,-0.0423214,-0.00441914,0.0495553,0.00214151,-0.0659091
324.441,-0.0748489,-0.043483,-0.00436029,0.0505545,0.00490086,-0.0732328
324.441,-0.0578728,-0.0463142,-0.00178395,0.0482518,-3.42469e-05,-0.057873
324.541,-0.0580299,-0.0461593,-0.00199292,0.0483149,-3.90578e-05,-0.0580301
324.541,-0.0582216,-0.0459873,-0.00224634,0.0483968,-3.95484e-05,-0.0582218
324.541,-0.0555768,-0.0438152,-0.00201492,0.0459858,-3.79317e-05,-0.0555771
324.641,-0.0678573,-0.0560227,-0.00126321,0.0542446,0.00531338,-0.0687937
324.641,-0.0473497,-0.034148,-0.0050927,0.041673,-0.00289465,-0.0466762
324.641,-0.0476452,-0.0343682,-0.00445228,0.0409298,-0.00262852,-0.0463353
324.741,-0.0477283,-0.0342784,-0.00458044,0.0409606,-0.00263477,-0.0464181
324.741,-0.0548239,-0.0293346,-0.00854924,0.0420698,0.000639019,-0.0539381
324.741,-0.0549097,-0.0292326,-0.00868025,0.0420957,0.000629799,-0.0540239
324.841,-0.0701731,-0.0445642,-0.00441957,0.0489062,0.00652773,-0.0690123
324.841,-0.0713449,-0.0380095,-0.00678686,0.0471313,0.00748788,-0.0713142
324.841,-0.0494203,-0.0374647,-0.00370328,0.0413142,-5.40272e-05,-0.0494205
324.941,-0.0374706,-0.0169355,-0.0104627,0.0339536,-0.00357543,-0.0382375
324.941,-0.0375416,-0.0168464,-0.0105671,0.0339611,-0.00359013,-0.0383083
324.941,-0.0794867,-0.0460913,-0.0030588,0.0484335,0.010762,-0.0782373
325.041,-0.0795755,-0.0459897,-0.00316071,0.048438,0.0107475,-0.0783276
325.041,-0.0515037,-0.0293598,-0.00502725,0.0366578,0.000685147,-0.0490761
325.041,-0.0686364,-0.0462596,-0.00249863,0.0465463,0.00789291,-0.0678721
325.141,-0.0687833,-0.0461266,-0.00266045,0.0465983,0.0078945,-0.0680191
325.141,-0.0658031,-0.0361598,-0.0055835,0.0427609,0.00715343,-0.064591
325.141,-0.0659807,-0.0360399,-0.00567121,0.0427593,0.00715399,-0.0647696
325.241,-0.0661147,-0.0359013,-0.00582706,0.0428054,0.0071503,-0.0649039
325.241,-0.0743838,-0.0410576,-0.00284747,0.0433419,0.0108199,-0.0731523
325.241,-0.0745451,-0.040914,-0.00298906,0.0433781,0.0108191,-0.0733139
325.341,-0.0747194,-0.0407498,-0.00316948,0.0434434,0.0108221,-0.0734882
325.341,-0.0513664,-0.0179979,-0.00847199,0.0315055,0.00363235,-0.0504442
325.341,-0.0384083,-0.0275158,-0.00370402,0.0314572,-5.68143e-05,-0.038409
325.441,-0.0384802,-0.027439,-0.00379744,0.0314812,-6.06114e-05,-0.038481
325.441,-0.0385595,-0.0273623,-0.00389789,0.0315068,-6.29515e-05,-0.0385602
