Timestamp,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5
322.741,0,0,0,0,0,0
322.741,-0.0314821,-0.0343395,0.0450593,0.0724721,-0.113848,-0.0315287
322.741,-0.0314086,-0.034259,0.0445576,0.0728932,-0.113848,-0.0314554
322.741,-0.0312354,-0.0339526,0.0430906,0.0738393,-0.114005,-0.0309987
322.841,-0.0312858,-0.033892,0.0431319,0.0735257,-0.11416,-0.0307647
322.841,-0.0300784,-0.0308223,0.0291987,0.0807362,-0.110353,-0.0282024
322.841,-0.0271965,-0.0288151,0.0221766,0.0842024,-0.107687,-0.0260632
322.941,-0.0277691,-0.0278429,0.017122,0.0857868,-0.105386,-0.02489
322.941,-0.0245186,-0.0260471,0.00982272,0.0895235,-0.102439,-0.0229789
322.941,-0.023083,-0.0249689,0.00575378,0.0903962,-0.100467,-0.0213205
323.041,-0.0242863,-0.0240629,0.00144809,0.0919734,-0.0980346,-0.0207645
323.041,-0.0213567,-0.0217575,-0.00527087,0.0948436,-0.0953139,-0.0192395
323.041,-0.0210198,-0.0210385,-0.00882748,0.0955406,-0.0931822,-0.017652
323.141,-0.0199991,-0.0195483,-0.0127242,0.0964167,-0.0911047,-0.0170534
323.141,-0.0209425,-0.0178828,-0.0191851,0.0992416,-0.0886694,-0.0162749
323.141,-0.0185228,-0.0173693,-0.0223361,0.100494,-0.0863758,-0.0141882
323.241,-0.0164426,-0.0163182,-0.0259767,0.101337,-0.0838904,-0.0136659
323.241,-0.0159964,-0.0146489,-0.0303097,0.102152,-0.0819427,-0.0120916
323.241,-0.0136195,-0.0137945,-0.0333337,0.103273,-0.0794792,-0.0111709
323.341,-0.0165041,-0.0135597,-0.0349939,0.10272,-0.0778082,-0.0118619
323.341,-0.0158654,-0.0127925,-0.0367538,0.103689,-0.0778295,-0.0110953
323.341,-0.015119,-0.0130644,-0.0398259,0.104112,-0.073464,-0.00871029
323.441,-0.0149485,-0.0123177,-0.0416186,0.10358,-0.071321,-0.00849766
323.441,-0.0155243,-0.0115485,-0.0436598,0.103469,-0.0696639,-0.00797153
323.441,-0.012374,-0.00827368,-0.0500103,0.105697,-0.0678478,-0.00747013
323.541,-0.0118216,-0.00800703,-0.0542613,0.108565,-0.0648893,-0.0074775
323.541,-0.0104231,-0.00798318,-0.0499424,0.102583,-0.0637424,-0.0066333
323.541,-0.0114026,-0.007519,-0.0516771,0.101957,-0.0620664,-0.00652594
323.641,-0.00968461,-0.00705452,-0.0542967,0.103136,-0.0599824,-0.00591449
323.641,-0.00943283,-0.00714297,-0.0538993,0.101501,-0.0584466,-0.00512257
323.641,-0.00424328,-0.00458572,-0.0588886,0.103665,-0.0556886,-0.00373827
323.741,-0.0120417,-0.00725301,-0.0536073,0.099276,-0.0552709,-0.00437484
323.741,-0.00792837,-0.00561131,-0.0564455,0.0994665,-0.0535155,-0.00419859
323.741,-0.00926032,-0.00427979,-0.0576119,0.0979946,-0.05242,-0.00444501
323.841,-0.00940726,-0.0040402,-0.0572034,0.0965307,-0.051065,-0.00459145
323.841,-0.00864233,-0.00345863,-0.0580864,0.095566,-0.0493641,-0.00388953
323.841,-0.00404583,-0.00320739,-0.0610124,0.0977139,-0.0471113,-0.00209419
323.941,-0.00541333,-0.00212698,-0.0602927,0.0955518,-0.0465875,-0.00231079
323.941,-0.00793336,-0.00249469,-0.0586834,0.0926665,-0.0453298,-0.00380129
323.941,-0.00299095,-0.00165446,-0.0633902,0.0956442,-0.0431181,-0.00116986
324.041,-0.00438884,-0.000674046,-0.0624882,0.0933857,-0.0426065,-0.00142151
324.041,-0.00796268,-0.00271456,-0.059061,0.0905053,-0.0411569,-0.00166141
324.041,-0.00533101,-0.00106318,-0.0596629,0.0887582,-0.0398047,-0.0024884
324.141,-0.00670542,-0.00124173,-0.0588699,0.087063,-0.0389914,-0.00278407
324.141,-0.00411917,-0.000369208,-0.0594599,0.0865052,-0.0375984,-0.00192449
324.141,-0.00546176,-0.000824884,-0.0584627,0.0849808,-0.0365249,-0.00217372
324.241,-0.00479153,1.6439e-06,-0.0590556,0.0841612,-0.0353351,-0.00211298
324.241,-0.00503866,0.000529415,-0.058984,0.082551,-0.0345173,-0.00244105
324.241,-0.00486727,9.49357e-06,-0.0583267,0.0819158,-0.0334124,-0.00171216
324.341,-0.00542863,-0.000123402,-0.0574454,0.0802203,-0.0323476,-0.00235027
324.341,-0.00411895,0.000378019,-0.0554557,0.0771387,-0.0314093,-0.00167096
324.341,-0.00460695,0.000522528,-0.0568277,0.0775007,-0.0304977,-0.00105782
324.441,-0.00395924,0.00117626,-0.0574282,0.0774302,-0.0299842,-0.000400316
324.441,-0.00344157,0.000804622,-0.0567012,0.0760831,-0.0286895,-0.00113555
324.441,-0.00449073,0.00158636,-0.0548599,0.0728642,-0.0280295,-0.00163549
324.541,-0.00392986,0.00114331,-0.0554406,0.0732014,-0.0272065,-0.00114354
324.541,-0.00310207,0.00207172,-0.0561345,0.0723859,-0.0259968,-0.000957919
324.541,-0.00406158,0.000738373,-0.052565,0.069496,-0.0255907,-0.00137862
324.641,-0.00484217,0.00164549,-0.0516538,0.0673793,-0.0247449,-0.00217198
324.641,-0.00289289,0.00228052,-0.0539079,0.0686818,-0.0237708,-0.000852274
324.641,-0.00389644,0.000891152,-0.050238,0.0657446,-0.0233656,-0.00131757
324.741,-0.00111447,0.00213293,-0.051674,0.0658685,-0.0220367,-0.00091907
324.741,-0.00274076,0.00299794,-0.0555237,0.0685586,-0.0211313,-0.00137558
324.741,-0.0044905,0.00123566,-0.0495029,0.0630869,-0.0210797,-0.00146366
324.841,-0.00326911,0.0019411,-0.0496415,0.0619274,-0.0205145,-0.000908087
324.841,-0.00505541,0.00100488,-0.0495871,0.0624356,-0.0197203,-0.000334716
324.841,-0.00499787,0.00115476,-0.0497748,0.0624779,-0.0197181,-0.000265588
324.941,-0.00203005,0.00218686,-0.0469563,0.0579053,-0.0186104,-0.000976276
324.941,-0.00304556,0.0015606,-0.0459496,0.057243,-0.0178417,-0.00141417
324.941,-0.00189776,0.0024445,-0.0461503,0.0560191,-0.0172448,-0.000931871
325.041,-0.00500664,0.00105972,-0.0443915,0.0551042,-0.0171177,0.000123212
325.041,-0.00411116,0.00138021,-0.0443509,0.0542705,-0.0161681,-0.00083855
325.041,-0.00232329,0.00279033,-0.0446731,0.0529353,-0.015753,-0.000894686
325.141,-0.0021595,0.00225002,-0.0446013,0.0531768,-0.0153113,-0.000755141
325.141,0.000271665,0.00283607,-0.0467568,0.0545237,-0.0140141,-0.000174342
325.141,-0.00386558,0.00185503,-0.042969,0.0512574,-0.0143828,-0.00131543
325.241,-0.00326348,0.00156025,-0.0399047,0.0479262,-0.0139799,-0.00138601
325.241,-0.00195214,0.00274561,-0.0410348,0.0478973,-0.0133797,-0.00129177
325.241,-0.00336647,0.00240702,-0.0414533,0.0481159,-0.0131696,-0.00154506
325.341,-0.00313842,0.00176322,-0.0389491,0.0459406,-0.0126246,-0.00135444
325.341,-0.00134116,0.00272728,-0.0401187,0.0458663,-0.0119138,-0.000823527
325.341,-0.00200265,0.00213987,-0.0387929,0.0449089,-0.0117624,-0.00089532
325.441,-0.0029866,0.00240168,-0.0371255,0.0426915,-0.0115657,-0.00190252
325.441,-0.00294002,0.00249002,-0.0372413,0.042724,-0.0115624,-0.00185289
325.441,-0.00442349,0.00104035,-0.0356516,0.0419608,-0.0106892,-0.00157067
325.541,-0.00207677,0.00233314,-0.0365744,0.0417741,-0.0104089,-0.00166084
325.541,-0.000864001,0.0038203,-0.0411977,0.0452546,-0.00917631,-0.0010208
325.541,-0.000845107,0.00389601,-0.0412871,0.0452704,-0.00917524,-0.000998862
325.641,-0.00381789,0.00145817,-0.0338243,0.038623,-0.00951422,-0.00171119
325.641,0.00111611,0.00213032,-0.035588,0.0399893,-0.00824212,-0.00107393
325.641,0.00113072,0.00219151,-0.0356602,0.0400021,-0.00824106,-0.00105708
325.741,-0.00120114,0.0025488,-0.0340603,0.0374182,-0.00837173,-0.0010029
325.741,-0.00291765,0.00138567,-0.0310106,0.0353827,-0.00822038,-0.00149073
325.741,-0.00279181,0.00218463,-0.0309995,0.0342155,-0.00803645,-0.00202569
325.841,-0.00233139,0.00200433,-0.0310822,0.0341742,-0.00791251,-0.00161047
325.841,-0.00218263,0.00144745,-0.0295611,0.033079,-0.00752746,-0.00086565
325.841,-0.0042,0.000817442,-0.0292633,0.033231,-0.00719579,-0.000419973
325.941,-0.00382562,0.000569958,-0.02724,0.0310892,-0.00690306,-0.00132366
325.941,-0.00401367,0.000590701,-0.0260541,0.0299809,-0.00689777,-0.0021099
325.941,-0.00157231,0.00180413,-0.0276198,0.0296942,-0.00635033,-0.00102084
326.041,-0.00119125,0.00211005,-0.028849,0.0309152,-0.00618188,-0.00122023
326.041,-0.00297828,0.00176357,-0.0266275,0.0287071,-0.00600076,-0.00179345
326.041,-0.00367104,0.000680034,-0.0260773,0.0289943,-0.00555956,-0.00127364
326.141,-0.00281426,0.00124193,-0.0265277,0.0289145,-0.0055576,-0.00165909
326.141,-0.00226306,0.000172411,-0.0234744,0.0267482,-0.00533436,-0.00113794
326.141,-0.00250985,0.00133892,-0.0247207,0.0264972,-0.00500212,-0.00142634
326.241,-0.00364561,0.000432867,-0.0240546,0.0267927,-0.00469378,-0.00129986
326.241,-0.00385354,0.000428277,-0.0228335,0.0256698,-0.00468935,-0.00210943
326.241,-0.00103506,0.00163117,-0.0240214,0.0255603,-0.00427091,-0.00182276
326.341,-0.00141806,0.00134555,-0.0228016,0.0243258,-0.00443787,-0.0016217
326.341,-0.00140831,0.00137108,-0.0228332,0.0243327,-0.00443723,-0.00161159
326.341,-0.00233351,0.000244485,-0.0209973,0.0234719,-0.00398929,-0.00192344
326.441,-0.00139705,0.0010662,-0.0207449,0.0221243,-0.00357052,-0.00166029
326.441,-0.0021571,0.00132633,-0.0225034,0.0232924,-0.00351744,-0.00183229
326.441,-0.00215354,0.00134704,-0.0225278,0.0232962,-0.00351743,-0.00182842
326.541,-0.00443816,0.000378433,-0.0223861,0.0235499,-0.0033223,-0.00167316
326.541,-0.00388517,0.000126722,-0.0193957,0.0212371,-0.0033731,-0.00230901
326.541,-0.00299729,0.000181668,-0.0183825,0.020102,-0.0029548,-0.00206529
326.641,-0.00470334,-0.000883324,-0.0175753,0.0203044,-0.00296287,-0.00125887
326.641,-0.00170632,0.000571578,-0.0189681,0.0200286,-0.00281502,-0.00207748
326.641,-0.0043102,-0.00122701,-0.0153456,0.0180263,-0.0026731,-0.00216818
326.741,-0.00163529,0.00084105,-0.0182443,0.0187286,-0.00239518,-0.00142601
326.741,-0.00163118,0.0008541,-0.0182603,0.0187319,-0.00239491,-0.00142179
326.741,-0.00455355,4.911e-05,-0.0167663,0.0178668,-0.00233872,-0.00244978
326.841,-0.00511201,-0.000618233,-0.0151681,0.0167229,-0.00223071,-0.00114844
326.841,-0.00212034,0.00133977,-0.0177144,0.0176972,-0.00206472,-0.0025296
326.841,0.00079775,0.000549075,-0.0185571,0.0191306,-0.000915133,-0.0015559
326.941,-0.00277876,0.000689106,-0.0162592,0.0166869,-0.00192247,-0.00258141
326.941,-0.00078652,0.000359183,-0.0158927,0.0166749,-0.00152997,-0.0018677
