Timestamp,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5
322.741,0,0,0,0,0,0
322.741,0.00502863,-0.0336429,0.0174985,0.0661578,-0.0501094,-0.0217366
322.841,0.00503349,-0.0336362,0.0174895,0.0661517,-0.0501178,-0.0217067
322.841,0.00503349,-0.0336362,0.0174895,0.0661517,-0.0501178,-0.0217067
322.841,0.00474054,-0.0330763,0.0159832,0.0670384,-0.0501775,-0.0214936
322.841,0.0058715,-0.0329099,0.0155879,0.0672713,-0.0501717,-0.0213716
322.941,0.00587413,-0.0328896,0.0155612,0.0672532,-0.0501971,-0.0212831
322.941,0.00678841,-0.0323712,0.0142363,0.068044,-0.0502125,-0.0210727
322.941,0.00739733,-0.0321187,0.0136383,0.0683652,-0.0502365,-0.0208815
323.041,0.00794515,-0.0320768,0.0135953,0.0683504,-0.0502519,-0.020738
323.041,0.0085739,-0.0316199,0.0124611,0.0690165,-0.0502628,-0.0205642
323.041,0.00944068,-0.0312781,0.0116734,0.0694508,-0.0502747,-0.0203465
323.141,0.009172,-0.0312636,0.0116524,0.069436,-0.0502964,-0.0202767
323.141,0.0104702,-0.0307655,0.0104996,0.0700965,-0.0502891,-0.0200458
323.141,0.00775912,-0.0305666,0.0098128,0.0705144,-0.0503678,-0.0201387
323.241,0.0106814,-0.0304125,0.00970016,0.0705145,-0.0503203,-0.0197914
323.241,0.0120113,-0.029896,0.008546,0.0711676,-0.0503032,-0.0195637
323.241,0.0124251,-0.0295502,0.00777053,0.0715924,-0.0503099,-0.0193887
323.341,0.0130875,-0.0294881,0.00772019,0.0715855,-0.0503028,-0.0192351
323.341,0.0143312,-0.0289578,0.00657084,0.0722297,-0.0502761,-0.019024
323.441,0.0149903,-0.0285537,0.00575403,0.0726473,-0.0502729,-0.0187293
323.441,0.015836,-0.0285093,0.00572899,0.0726519,-0.0502472,-0.0186641
323.441,0.0151667,-0.0280649,0.00463817,0.0732731,-0.050273,-0.0186055
323.441,0.0157313,-0.0276875,0.00385667,0.0736918,-0.0502589,-0.01842
323.541,0.0166143,-0.0276022,0.00379516,0.0736946,-0.050232,-0.0182528
323.541,0.01828,-0.0270139,0.00263534,0.0743269,-0.0501699,-0.0180276
323.541,0.0183442,-0.0266524,0.00187208,0.0747281,-0.0501647,-0.0178807
323.641,0.0178956,-0.0249341,0.000264202,0.0745674,-0.050169,-0.0177762
323.641,0.0123612,-0.0196824,-0.00540352,0.0747511,-0.0504141,-0.0179368
323.641,0.0111931,-0.01328,-0.0117594,0.0746506,-0.0504746,-0.0177413
323.741,0.00958676,-0.00898606,-0.0157587,0.0742795,-0.0505575,-0.0176841
323.741,0.0065054,-0.00251315,-0.0223645,0.0742551,-0.0507239,-0.0175667
323.741,0.00389376,0.0017202,-0.026669,0.0741863,-0.0508714,-0.0174641
323.841,0.00163078,0.00538061,-0.0301116,0.0737952,-0.0510069,-0.0174244
323.841,-0.00204493,0.00461033,-0.0326228,0.0743742,-0.0511783,-0.0173799
323.841,-0.00427222,0.00393869,-0.0340138,0.0747478,-0.0512938,-0.017295
323.941,-0.00371417,0.0025769,-0.0342398,0.0748222,-0.0512952,-0.0171301
323.941,-0.00597734,0.0019799,-0.0358921,0.0753942,-0.0513911,-0.0170318
323.941,-0.00800152,0.00224655,-0.0379869,0.0756634,-0.0515083,-0.0168935
324.041,-0.0112401,0.00137179,-0.0391589,0.0756834,-0.0516979,-0.0169756
324.041,-0.0134483,0.000453544,-0.0403576,0.0762084,-0.051836,-0.0167638
