Timestamp,error_x0,error_y0,error_x1,error_y1,error_x2,error_y2,error_x3,error_y3,RMSE
323.041,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
323.041,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
323.141,-0.279655,-0.149751,-0.214703,-0.146142,-0.212899,-0.211094,-0.277851,-0.212899,0.308423
323.141,-0.279655,-0.149751,-0.214703,-0.146142,-0.212899,-0.211094,-0.277851,-0.212899,0.308423
323.141,-0.268829,-0.142534,-0.20929,-0.14073,-0.205682,-0.207486,-0.268829,-0.205682,0.29838
323.241,-0.263417,-0.138925,-0.202073,-0.138925,-0.202073,-0.202073,-0.263417,-0.200269,0.291541
323.241,-0.258004,-0.137121,-0.198465,-0.137121,-0.194856,-0.200269,-0.258004,-0.198465,0.286177
323.241,-0.254396,-0.135317,-0.194856,-0.135317,-0.191248,-0.198465,-0.254396,-0.194856,0.281939
323.341,-0.247179,-0.131708,-0.191248,-0.131708,-0.189444,-0.189444,-0.247179,-0.189444,0.274377
323.341,-0.24357,-0.129904,-0.189444,-0.1281,-0.185835,-0.185835,-0.24357,-0.185835,0.269922
323.341,-0.239962,-0.1281,-0.184031,-0.126296,-0.184031,-0.184031,-0.238158,-0.184031,0.26558
323.441,-0.236353,-0.1281,-0.180422,-0.124492,-0.180422,-0.180422,-0.234549,-0.180422,0.261244
323.441,-0.230941,-0.122687,-0.178618,-0.122687,-0.176814,-0.176814,-0.230941,-0.176814,0.256157
323.441,-0.227332,-0.120883,-0.17501,-0.120883,-0.173206,-0.173206,-0.227332,-0.17501,0.251914
323.541,-0.227332,-0.120883,-0.17501,-0.120883,-0.173206,-0.173206,-0.227332,-0.17501,0.251914
323.541,-0.218311,-0.117275,-0.167793,-0.117275,-0.167793,-0.167793,-0.218311,-0.167793,0.242613
323.541,-0.218311,-0.117275,-0.167793,-0.117275,-0.167793,-0.167793,-0.218311,-0.167793,0.242613
323.641,-0.211094,-0.113666,-0.16238,-0.111862,-0.16238,-0.16238,-0.211094,-0.16238,0.234534
323.641,-0.20929,-0.113666,-0.160576,-0.110058,-0.156968,-0.164184,-0.207486,-0.160576,0.231867
323.641,-0.205682,-0.111862,-0.156968,-0.108253,-0.156968,-0.156968,-0.203877,-0.156968,0.227298
323.741,-0.200269,-0.108253,-0.153359,-0.108253,-0.153359,-0.155163,-0.200269,-0.155163,0.222959
323.741,-0.19666,-0.106449,-0.151555,-0.104645,-0.149751,-0.151555,-0.19666,-0.151555,0.218497
323.741,-0.193052,-0.104645,-0.147946,-0.104645,-0.147946,-0.149751,-0.193052,-0.149751,0.215097
323.841,-0.189444,-0.102841,-0.146142,-0.101037,-0.142534,-0.149751,-0.189444,-0.146142,0.210961
323.841,-0.187639,-0.101037,-0.142534,-0.101037,-0.142534,-0.144338,-0.185835,-0.144338,0.207641
323.841,-0.182227,-0.0992324,-0.14073,-0.0974281,-0.138925,-0.14073,-0.182227,-0.14073,0.202773
323.941,-0.180422,-0.0992324,-0.137121,-0.0974281,-0.137121,-0.138925,-0.178618,-0.138925,0.200001
323.941,-0.176814,-0.0956239,-0.135317,-0.0938197,-0.135317,-0.137121,-0.17501,-0.137121,0.196255
323.941,-0.176814,-0.0956239,-0.135317,-0.0938197,-0.135317,-0.137121,-0.17501,-0.137121,0.196255
324.041,-0.169597,-0.0920155,-0.129904,-0.0920155,-0.129904,-0.131708,-0.169597,-0.131708,0.189014
324.041,-0.167793,-0.0902112,-0.129904,-0.088407,-0.1281,-0.129904,-0.165989,-0.129904,0.186209
324.041,-0.164184,-0.088407,-0.126296,-0.088407,-0.126296,-0.1281,-0.164184,-0.126296,0.182898
324.141,-0.164184,-0.088407,-0.126296,-0.088407,-0.126296,-0.1281,-0.164184,-0.126296,0.182898
324.141,-0.158772,-0.0866028,-0.120883,-0.0847986,-0.120883,-0.122687,-0.158772,-0.122687,0.176379
324.141,-0.155163,-0.0847986,-0.119079,-0.0829943,-0.119079,-0.120883,-0.155163,-0.120883,0.173072
324.241,-0.153359,-0.0829943,-0.119079,-0.0811901,-0.117275,-0.119079,-0.151555,-0.119079,0.170485
324.241,-0.153359,-0.0829943,-0.119079,-0.0811901,-0.117275,-0.119079,-0.151555,-0.119079,0.170485
324.241,-0.153359,-0.0829943,-0.119079,-0.0811901,-0.117275,-0.119079,-0.151555,-0.119079,0.170485
324.341,-0.144338,-0.0793859,-0.110058,-0.0775817,-0.110058,-0.113666,-0.138925,-0.117275,0.160743
