Timestamp,error_x0,error_y0,error_x1,error_y1,error_x2,error_y2,error_x3,error_y3,RMSE
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.147946,-0.214703,-0.216507,-0.281459,-0.214703,0.311728
322.841,-0.276046,-0.146142,-0.212899,-0.146142,-0.211094,-0.20929,-0.276046,-0.211094,0.305519
322.841,-0.270634,-0.144338,-0.205682,-0.144338,-0.20929,-0.20929,-0.272438,-0.20929,0.301183
322.841,-0.268829,-0.142534,-0.202073,-0.142534,-0.205682,-0.205682,-0.268829,-0.203877,0.296724
322.941,-0.268829,-0.142534,-0.202073,-0.142534,-0.205682,-0.205682,-0.268829,-0.203877,0.296724
322.941,-0.268829,-0.142534,-0.202073,-0.142534,-0.205682,-0.205682,-0.268829,-0.203877,0.296724
322.941,-0.268829,-0.142534,-0.202073,-0.142534,-0.205682,-0.205682,-0.268829,-0.203877,0.296724
323.041,-0.250787,-0.131708,-0.194856,-0.129904,-0.191248,-0.187639,-0.248983,-0.189444,0.276021
323.041,-0.245375,-0.129904,-0.189444,-0.1281,-0.187639,-0.184031,-0.245375,-0.185835,0.27074
323.041,-0.241766,-0.129904,-0.185835,-0.126296,-0.185835,-0.182227,-0.241766,-0.182227,0.267025
323.041,-0.241766,-0.129904,-0.185835,-0.126296,-0.185835,-0.182227,-0.241766,-0.182227,0.267025
323.141,-0.232745,-0.122687,-0.182227,-0.120883,-0.178618,-0.176814,-0.232745,-0.176814,0.257703
323.141,-0.229137,-0.120883,-0.176814,-0.119079,-0.17501,-0.173206,-0.229137,-0.173206,0.25283
323.241,-0.229137,-0.120883,-0.176814,-0.119079,-0.17501,-0.173206,-0.229137,-0.173206,0.25283
323.241,-0.220115,-0.117275,-0.169597,-0.11547,-0.169597,-0.167793,-0.220115,-0.167793,0.243836
323.241,-0.216507,-0.11547,-0.165989,-0.113666,-0.165989,-0.164184,-0.216507,-0.164184,0.239281
323.241,-0.212899,-0.113666,-0.164184,-0.111862,-0.16238,-0.16238,-0.211094,-0.16238,0.235254
323.341,-0.20929,-0.113666,-0.160576,-0.110058,-0.160576,-0.158772,-0.20929,-0.158772,0.231637
323.341,-0.203877,-0.108253,-0.158772,-0.108253,-0.156968,-0.156968,-0.203877,-0.156968,0.226768
323.341,-0.203877,-0.108253,-0.158772,-0.108253,-0.156968,-0.156968,-0.203877,-0.156968,0.226768
323.441,-0.19666,-0.104645,-0.151555,-0.104645,-0.151555,-0.151555,-0.19666,-0.151555,0.218591
323.441,-0.193052,-0.102841,-0.149751,-0.102841,-0.147946,-0.147946,-0.194856,-0.147946,0.214756
323.441,-0.191248,-0.102841,-0.146142,-0.101037,-0.146142,-0.146142,-0.191248,-0.146142,0.211758
323.541,-0.187639,-0.101037,-0.144338,-0.0992324,-0.144338,-0.144338,-0.185835,-0.144338,0.208046
323.541,-0.187639,-0.101037,-0.144338,-0.0992324,-0.144338,-0.144338,-0.185835,-0.144338,0.208046
323.541,-0.180422,-0.0974281,-0.138925,-0.0956239,-0.138925,-0.138925,-0.180422,-0.138925,0.200588
323.641,-0.176814,-0.0956239,-0.138925,-0.0938197,-0.135317,-0.137121,-0.176814,-0.137121,0.197286
323.641,-0.17501,-0.0938197,-0.133513,-0.0938197,-0.131708,-0.138925,-0.173206,-0.135317,0.194304
323.641,-0.17501,-0.0938197,-0.133513,-0.0938197,-0.131708,-0.138925,-0.173206,-0.135317,0.194304
323.741,-0.167793,-0.0902112,-0.1281,-0.0902112,-0.1281,-0.129904,-0.167793,-0.129904,0.186517
323.741,-0.164184,-0.088407,-0.126296,-0.088407,-0.126296,-0.1281,-0.160576,-0.129904,0.182728
323.841,-0.160576,-0.0866028,-0.124492,-0.0866028,-0.122687,-0.124492,-0.16238,-0.124492,0.179373
323.841,-0.158772,-0.0866028,-0.120883,-0.0866028,-0.120883,-0.122687,-0.158772,-0.122687,0.176598
323.841,-0.156968,-0.0866028,-0.119079,-0.0847986,-0.119079,-0.120883,-0.155163,-0.120883,0.173918
323.841,-0.153359,-0.0829943,-0.117275,-0.0829943,-0.117275,-0.119079,-0.153359,-0.119079,0.170793
323.941,-0.151555,-0.0829943,-0.11547,-0.0811901,-0.11547,-0.117275,-0.149751,-0.117275,0.168113
