Timestamp,error_x0,error_y0,error_x1,error_y1,error_x2,error_y2,error_x3,error_y3,RMSE
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.841,-0.272438,-0.142534,-0.207486,-0.14073,-0.205682,-0.207486,-0.270634,-0.205682,0.299289
322.841,-0.265221,-0.137121,-0.200269,-0.137121,-0.200269,-0.203877,-0.263417,-0.202073,0.291526
322.841,-0.259808,-0.133513,-0.194856,-0.131708,-0.193052,-0.198465,-0.2562,-0.19666,0.283555
322.941,-0.252591,-0.1281,-0.187639,-0.1281,-0.187639,-0.194856,-0.248983,-0.191248,0.275489
322.941,-0.247179,-0.124492,-0.182227,-0.124492,-0.182227,-0.189444,-0.24357,-0.185835,0.268448
322.941,-0.241766,-0.122687,-0.176814,-0.119079,-0.176814,-0.185835,-0.236353,-0.182227,0.261636
323.041,-0.234549,-0.117275,-0.171401,-0.11547,-0.171401,-0.182227,-0.230941,-0.176814,0.254293
323.041,-0.229137,-0.113666,-0.165989,-0.111862,-0.165989,-0.176814,-0.223724,-0.173206,0.247162
323.041,-0.223724,-0.110058,-0.16238,-0.108253,-0.160576,-0.173206,-0.220115,-0.167793,0.241165
323.141,-0.218311,-0.106449,-0.158772,-0.102841,-0.155163,-0.169597,-0.212899,-0.164184,0.234466
323.141,-0.212899,-0.102841,-0.151555,-0.101037,-0.151555,-0.165989,-0.205682,-0.16238,0.228184
323.141,-0.207486,-0.0992324,-0.146142,-0.0974281,-0.146142,-0.16238,-0.202073,-0.155163,0.221575
323.241,-0.202073,-0.0956239,-0.142534,-0.0938197,-0.14073,-0.156968,-0.19666,-0.151555,0.215165
323.241,-0.19666,-0.0920155,-0.137121,-0.0920155,-0.137121,-0.155163,-0.191248,-0.147946,0.209614
323.241,-0.193052,-0.0902112,-0.135317,-0.0866028,-0.133513,-0.151555,-0.185835,-0.144338,0.204561
323.341,-0.193052,-0.0902112,-0.135317,-0.0866028,-0.133513,-0.151555,-0.185835,-0.144338,0.204561
323.341,-0.184031,-0.0847986,-0.124492,-0.0829943,-0.124492,-0.144338,-0.171401,-0.14073,0.192976
323.341,-0.178618,-0.0811901,-0.120883,-0.0793859,-0.120883,-0.14073,-0.165989,-0.137121,0.187205
323.441,-0.17501,-0.0811901,-0.117275,-0.0757774,-0.117275,-0.137121,-0.16238,-0.133513,0.182664
323.441,-0.169597,-0.0757774,-0.11547,-0.072169,-0.113666,-0.135317,-0.16238,-0.1281,0.178224
323.441,-0.165989,-0.0739732,-0.110058,-0.0703648,-0.106449,-0.135317,-0.156968,-0.122687,0.172787
323.541,-0.160576,-0.072169,-0.106449,-0.0685605,-0.106449,-0.1281,-0.153359,-0.119079,0.167679
323.541,-0.156968,-0.0685605,-0.104645,-0.0649521,-0.102841,-0.124492,-0.147946,-0.11547,0.162638
323.541,-0.153359,-0.0667563,-0.0992324,-0.0631479,-0.0992324,-0.122687,-0.144338,-0.111862,0.158158
323.641,-0.149751,-0.0649521,-0.0956239,-0.0613436,-0.0974281,-0.119079,-0.138925,-0.110058,0.153815
323.641,-0.142534,-0.0613436,-0.088407,-0.0595394,-0.0938197,-0.117275,-0.137121,-0.106449,0.148432
323.641,-0.142534,-0.0631479,-0.0902112,-0.0577352,-0.0902112,-0.113666,-0.1281,-0.108253,0.145741
323.741,-0.138925,-0.0595394,-0.0866028,-0.055931,-0.088407,-0.111862,-0.1281,-0.101037,0.141792
323.741,-0.135317,-0.0577352,-0.0866028,-0.0523225,-0.0847986,-0.108253,-0.126296,-0.0974281,0.138053
323.741,-0.131708,-0.055931,-0.0847986,-0.0505183,-0.0829943,-0.106449,-0.122687,-0.0956239,0.134753
323.841,-0.1281,-0.0541267,-0.0811901,-0.0487141,-0.0793859,-0.102841,-0.119079,-0.0920155,0.13022
323.841,-0.124492,-0.0523225,-0.072169,-0.0487141,-0.0775817,-0.101037,-0.11547,-0.0902112,0.126012
323.841,-0.120883,-0.0505183,-0.0739732,-0.0469098,-0.0757774,-0.0992324,-0.113666,-0.0902112,0.123981
