Timestamp,error_x0,error_y0,error_x1,error_y1,error_x2,error_y2,error_x3,error_y3,RMSE
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.841,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.841,-0.279655,-0.147946,-0.214703,-0.146142,-0.212899,-0.212899,-0.279655,-0.212899,0.308923
322.841,-0.274242,-0.144338,-0.20929,-0.142534,-0.207486,-0.212899,-0.272438,-0.207486,0.302411
322.841,-0.267025,-0.138925,-0.202073,-0.138925,-0.202073,-0.203877,-0.265221,-0.203877,0.293702
322.941,-0.267025,-0.138925,-0.202073,-0.138925,-0.202073,-0.203877,-0.265221,-0.203877,0.293702
322.941,-0.2562,-0.131708,-0.187639,-0.129904,-0.191248,-0.19666,-0.254396,-0.194856,0.279735
322.941,-0.250787,-0.1281,-0.185835,-0.126296,-0.185835,-0.193052,-0.247179,-0.189444,0.273212
323.041,-0.24357,-0.122687,-0.180422,-0.122687,-0.180422,-0.187639,-0.241766,-0.184031,0.265548
323.041,-0.238158,-0.119079,-0.17501,-0.117275,-0.173206,-0.182227,-0.234549,-0.180422,0.257902
323.041,-0.232745,-0.11547,-0.169597,-0.113666,-0.169597,-0.180422,-0.229137,-0.17501,0.251811
323.141,-0.227332,-0.111862,-0.164184,-0.110058,-0.164184,-0.176814,-0.22192,-0.171401,0.245004
323.141,-0.22192,-0.108253,-0.158772,-0.106449,-0.158772,-0.171401,-0.216507,-0.165989,0.237971
323.141,-0.216507,-0.104645,-0.155163,-0.102841,-0.153359,-0.167793,-0.211094,-0.16238,0.231883
323.241,-0.211094,-0.101037,-0.149751,-0.0992324,-0.149751,-0.164184,-0.203877,-0.158772,0.225387
323.241,-0.205682,-0.0974281,-0.144338,-0.0974281,-0.144338,-0.160576,-0.200269,-0.153359,0.219299
323.241,-0.200269,-0.0956239,-0.14073,-0.0920155,-0.14073,-0.156968,-0.194856,-0.149751,0.213519
323.341,-0.19666,-0.0920155,-0.138925,-0.088407,-0.135317,-0.153359,-0.189444,-0.146142,0.208167
323.341,-0.191248,-0.088407,-0.131708,-0.0866028,-0.131708,-0.149751,-0.184031,-0.142534,0.201987
323.341,-0.185835,-0.0866028,-0.1281,-0.0829943,-0.1281,-0.146142,-0.178618,-0.138925,0.196408
323.441,-0.182227,-0.0829943,-0.124492,-0.0811901,-0.122687,-0.14073,-0.17501,-0.135317,0.191037
323.441,-0.182227,-0.0829943,-0.124492,-0.0811901,-0.122687,-0.14073,-0.17501,-0.135317,0.191037
323.441,-0.173206,-0.0793859,-0.119079,-0.0739732,-0.11547,-0.135317,-0.164184,-0.1281,0.180945
323.541,-0.169597,-0.0775817,-0.111862,-0.0739732,-0.111862,-0.133513,-0.160576,-0.124492,0.176344
323.541,-0.164184,-0.0739732,-0.108253,-0.0703648,-0.108253,-0.129904,-0.156968,-0.120883,0.170985
323.541,-0.158772,-0.0703648,-0.104645,-0.0685605,-0.104645,-0.124492,-0.151555,-0.117275,0.165062
323.641,-0.155163,-0.0685605,-0.102841,-0.0649521,-0.102841,-0.124492,-0.144338,-0.119079,0.161755
323.641,-0.151555,-0.0667563,-0.0992324,-0.0631479,-0.0992324,-0.120883,-0.142534,-0.111862,0.156962
323.641,-0.147946,-0.0649521,-0.0956239,-0.0613436,-0.0956239,-0.119079,-0.14073,-0.108253,0.153184
323.741,-0.144338,-0.0631479,-0.0920155,-0.0595394,-0.0938197,-0.11547,-0.135317,-0.106449,0.148838
323.741,-0.14073,-0.0613436,-0.0902112,-0.055931,-0.0902112,-0.113666,-0.131708,-0.102841,0.144755
323.741,-0.137121,-0.0577352,-0.0866028,-0.0541267,-0.0866028,-0.110058,-0.1281,-0.0992324,0.140031
323.841,-0.133513,-0.055931,-0.0793859,-0.0541267,-0.0847986,-0.108253,-0.124492,-0.0974281,0.136093
323.841,-0.129904,-0.0541267,-0.0811901,-0.0505183,-0.0811901,-0.104645,-0.120883,-0.0938197,0.132199
323.841,-0.126296,-0.0523225,-0.0793859,-0.0487141,-0.0793859,-0.102841,-0.117275,-0.0920155,0.128901
323.941,-0.124492,-0.0523225,-0.0757774,-0.0487141,-0.0775817,-0.101037,-0.113666,-0.0920155,0.126457
