Timestamp,error_x0,error_y0,error_x1,error_y1,error_x2,error_y2,error_x3,error_y3,RMSE
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.277851,-0.147946,-0.211094,-0.146142,-0.211094,-0.211094,-0.276046,-0.211094,0.306142
322.841,-0.270634,-0.14073,-0.205682,-0.14073,-0.203877,-0.203877,-0.268829,-0.205682,0.297011
322.841,-0.261613,-0.135317,-0.194856,-0.135317,-0.198465,-0.202073,-0.261613,-0.200269,0.288011
322.941,-0.2562,-0.131708,-0.191248,-0.129904,-0.189444,-0.198465,-0.254396,-0.193052,0.280045
322.941,-0.248983,-0.126296,-0.184031,-0.126296,-0.184031,-0.191248,-0.245375,-0.187639,0.270934
322.941,-0.24357,-0.122687,-0.178618,-0.120883,-0.178618,-0.187639,-0.239962,-0.184031,0.264319
322.941,-0.239962,-0.120883,-0.17501,-0.119079,-0.17501,-0.184031,-0.234549,-0.180422,0.259357
323.041,-0.234549,-0.11547,-0.165989,-0.11547,-0.169597,-0.180422,-0.230941,-0.178618,0.252876
323.041,-0.234549,-0.11547,-0.165989,-0.11547,-0.169597,-0.180422,-0.230941,-0.178618,0.252876
323.041,-0.22192,-0.108253,-0.160576,-0.106449,-0.158772,-0.171401,-0.216507,-0.167793,0.23859
323.141,-0.216507,-0.104645,-0.155163,-0.102841,-0.155163,-0.167793,-0.212899,-0.16238,0.232595
323.141,-0.211094,-0.101037,-0.151555,-0.0992324,-0.149751,-0.164184,-0.205682,-0.158772,0.226098
323.141,-0.207486,-0.101037,-0.146142,-0.0956239,-0.144338,-0.158772,-0.202073,-0.156968,0.220949
323.241,-0.202073,-0.0956239,-0.14073,-0.0938197,-0.14073,-0.156968,-0.194856,-0.149751,0.214139
323.241,-0.19666,-0.0920155,-0.138925,-0.088407,-0.135317,-0.151555,-0.189444,-0.146142,0.207837
323.241,-0.191248,-0.088407,-0.133513,-0.0866028,-0.131708,-0.149751,-0.185835,-0.142534,0.202694
323.341,-0.187639,-0.0866028,-0.1281,-0.0829943,-0.1281,-0.146142,-0.180422,-0.138925,0.197247
323.341,-0.182227,-0.0829943,-0.124492,-0.0811901,-0.120883,-0.146142,-0.17501,-0.135317,0.191764
323.341,-0.178618,-0.0811901,-0.120883,-0.0775817,-0.120883,-0.14073,-0.169597,-0.131708,0.186853
323.441,-0.178618,-0.0811901,-0.120883,-0.0775817,-0.120883,-0.14073,-0.169597,-0.131708,0.186853
323.441,-0.178618,-0.0811901,-0.120883,-0.0775817,-0.120883,-0.14073,-0.169597,-0.131708,0.186853
323.441,-0.16238,-0.072169,-0.104645,-0.0703648,-0.111862,-0.131708,-0.156968,-0.120883,0.170726
323.541,-0.160576,-0.0703648,-0.106449,-0.0685605,-0.106449,-0.1281,-0.151555,-0.117275,0.166757
323.541,-0.156968,-0.0685605,-0.102841,-0.0649521,-0.102841,-0.124492,-0.147946,-0.113666,0.162032
323.541,-0.153359,-0.0667563,-0.0992324,-0.0631479,-0.0992324,-0.120883,-0.144338,-0.111862,0.15781
323.641,-0.149751,-0.0667563,-0.0956239,-0.0613436,-0.0974281,-0.119079,-0.14073,-0.108253,0.154098
323.641,-0.146142,-0.0649521,-0.0938197,-0.0577352,-0.0938197,-0.11547,-0.135317,-0.106449,0.149574
323.641,-0.14073,-0.0595394,-0.0902112,-0.055931,-0.0902112,-0.113666,-0.131708,-0.102841,0.144566
323.741,-0.137121,-0.0577352,-0.0866028,-0.055931,-0.088407,-0.110058,-0.129904,-0.0992324,0.140903
323.741,-0.137121,-0.0577352,-0.0866028,-0.055931,-0.088407,-0.110058,-0.129904,-0.0992324,0.140903
323.741,-0.129904,-0.0541267,-0.0811901,-0.0505183,-0.0829943,-0.106449,-0.117275,-0.0992324,0.133012
323.841,-0.1281,-0.055931,-0.0793859,-0.0487141,-0.0793859,-0.102841,-0.117275,-0.0920155,0.129722
323.841,-0.124492,-0.0523225,-0.0775817,-0.0469098,-0.0775817,-0.101037,-0.113666,-0.0902112,0.126234
323.841,-0.120883,-0.0505183,-0.0739732,-0.0451056,-0.0757774,-0.0992324,-0.111862,-0.0866028,0.122754
