Timestamp,error_x0,error_y0,error_x1,error_y1,error_x2,error_y2,error_x3,error_y3,RMSE
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.841,-0.279655,-0.146142,-0.214703,-0.146142,-0.212899,-0.20929,-0.279655,-0.211094,0.30778
322.841,-0.277851,-0.144338,-0.212899,-0.142534,-0.211094,-0.207486,-0.276046,-0.207486,0.30436
322.841,-0.276046,-0.14073,-0.211094,-0.138925,-0.20929,-0.203877,-0.274242,-0.203877,0.300837
322.941,-0.272438,-0.137121,-0.20929,-0.135317,-0.207486,-0.200269,-0.270634,-0.200269,0.296499
322.941,-0.272438,-0.137121,-0.207486,-0.131708,-0.205682,-0.19666,-0.268829,-0.19666,0.293831
322.941,-0.268829,-0.131708,-0.207486,-0.1281,-0.202073,-0.191248,-0.265221,-0.193052,0.289006
323.041,-0.267025,-0.1281,-0.203877,-0.126296,-0.200269,-0.189444,-0.263417,-0.189444,0.285702
323.041,-0.265221,-0.126296,-0.198465,-0.120883,-0.198465,-0.185835,-0.254396,-0.191248,0.280851
323.041,-0.263417,-0.122687,-0.19666,-0.119079,-0.19666,-0.182227,-0.2562,-0.184031,0.277796
323.141,-0.261613,-0.120883,-0.194856,-0.11547,-0.194856,-0.178618,-0.254396,-0.178618,0.27425
323.141,-0.259808,-0.117275,-0.198465,-0.111862,-0.193052,-0.17501,-0.250787,-0.176814,0.271666
323.141,-0.258004,-0.113666,-0.19666,-0.108253,-0.191248,-0.171401,-0.248983,-0.173206,0.268248
323.241,-0.2562,-0.111862,-0.194856,-0.104645,-0.189444,-0.167793,-0.245375,-0.169597,0.264616
323.241,-0.254396,-0.108253,-0.193052,-0.101037,-0.185835,-0.16238,-0.24357,-0.165989,0.260621
323.241,-0.252591,-0.106449,-0.191248,-0.0992324,-0.184031,-0.158772,-0.241766,-0.16238,0.25761
323.341,-0.250787,-0.102841,-0.185835,-0.0956239,-0.182227,-0.156968,-0.238158,-0.158772,0.253437
323.341,-0.248983,-0.0992324,-0.189444,-0.0902112,-0.180422,-0.153359,-0.236353,-0.155163,0.250936
323.341,-0.247179,-0.0974281,-0.189444,-0.0866028,-0.178618,-0.149751,-0.234549,-0.151555,0.248138
323.441,-0.245375,-0.0938197,-0.185835,-0.0847986,-0.176814,-0.146142,-0.230941,-0.149751,0.244497
323.441,-0.24357,-0.0920155,-0.185835,-0.0811901,-0.17501,-0.142534,-0.229137,-0.146142,0.241726
323.441,-0.241766,-0.088407,-0.184031,-0.0775817,-0.173206,-0.138925,-0.227332,-0.142534,0.238458
323.541,-0.239962,-0.0847986,-0.182227,-0.0739732,-0.171401,-0.135317,-0.223724,-0.138925,0.234783
323.541,-0.239962,-0.0847986,-0.182227,-0.0703648,-0.169597,-0.131708,-0.22192,-0.135317,0.232701
323.541,-0.238158,-0.0829943,-0.180422,-0.0667563,-0.167793,-0.126296,-0.220115,-0.131708,0.229412
323.641,-0.236353,-0.0775817,-0.178618,-0.0649521,-0.165989,-0.122687,-0.216507,-0.129904,0.226031
323.641,-0.234549,-0.0757774,-0.178618,-0.0613436,-0.165989,-0.120883,-0.214703,-0.126296,0.223962
323.641,-0.232745,-0.072169,-0.176814,-0.0577352,-0.164184,-0.117275,-0.212899,-0.122687,0.22083
323.741,-0.230941,-0.0703648,-0.17501,-0.0541267,-0.160576,-0.111862,-0.20929,-0.120883,0.217115
323.741,-0.229137,-0.0685605,-0.173206,-0.0523225,-0.158772,-0.110058,-0.207486,-0.117275,0.214515
323.741,-0.227332,-0.0667563,-0.171401,-0.0505183,-0.156968,-0.108253,-0.205682,-0.11547,0.212169
323.841,-0.223724,-0.0631479,-0.169597,-0.0469098,-0.155163,-0.106449,-0.19666,-0.117275,0.20787
323.841,-0.22192,-0.0613436,-0.167793,-0.0451056,-0.153359,-0.104645,-0.200269,-0.110058,0.206089
323.841,-0.220115,-0.0613436,-0.165989,-0.0433014,-0.149751,-0.0992324,-0.19666,-0.108253,0.202674
