Timestamp,error_x0,error_y0,error_x1,error_y1,error_x2,error_y2,error_x3,error_y3,RMSE
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.841,-0.281459,-0.147946,-0.216507,-0.146142,-0.214703,-0.212899,-0.279655,-0.212899,0.309958
322.841,-0.277851,-0.144338,-0.214703,-0.142534,-0.211094,-0.211094,-0.277851,-0.20929,0.306012
322.841,-0.274242,-0.14073,-0.207486,-0.14073,-0.211094,-0.20929,-0.274242,-0.205682,0.301557
322.941,-0.274242,-0.138925,-0.212899,-0.135317,-0.207486,-0.203877,-0.270634,-0.202073,0.29868
322.941,-0.274242,-0.138925,-0.212899,-0.135317,-0.207486,-0.203877,-0.270634,-0.202073,0.29868
322.941,-0.270634,-0.133513,-0.207486,-0.129904,-0.200269,-0.19666,-0.265221,-0.19666,0.29103
323.041,-0.268829,-0.131708,-0.207486,-0.126296,-0.202073,-0.191248,-0.263417,-0.193052,0.288394
323.041,-0.267025,-0.1281,-0.203877,-0.124492,-0.200269,-0.187639,-0.261613,-0.189444,0.28479
323.041,-0.265221,-0.124492,-0.202073,-0.120883,-0.198465,-0.184031,-0.258004,-0.185835,0.280911
323.141,-0.263417,-0.122687,-0.200269,-0.117275,-0.19666,-0.180422,-0.2562,-0.182227,0.277657
323.141,-0.261613,-0.119079,-0.198465,-0.113666,-0.193052,-0.176814,-0.252591,-0.178618,0.273481
323.141,-0.258004,-0.11547,-0.198465,-0.110058,-0.191248,-0.173206,-0.250787,-0.17501,0.269953
323.241,-0.258004,-0.11547,-0.19666,-0.106449,-0.189444,-0.169597,-0.248983,-0.171401,0.267362
323.241,-0.254396,-0.110058,-0.194856,-0.102841,-0.187639,-0.165989,-0.245375,-0.167793,0.262916
323.241,-0.252591,-0.106449,-0.193052,-0.0992324,-0.185835,-0.16238,-0.24357,-0.164184,0.259536
323.341,-0.252591,-0.106449,-0.191248,-0.0974281,-0.184031,-0.158772,-0.234549,-0.165989,0.256341
323.341,-0.248983,-0.101037,-0.189444,-0.0938197,-0.182227,-0.155163,-0.238158,-0.156968,0.252751
323.341,-0.248983,-0.101037,-0.189444,-0.0902112,-0.180422,-0.151555,-0.234549,-0.155163,0.250419
323.441,-0.245375,-0.0956239,-0.187639,-0.0866028,-0.178618,-0.147946,-0.232745,-0.151555,0.246472
323.441,-0.245375,-0.0938197,-0.185835,-0.0829943,-0.176814,-0.144338,-0.230941,-0.147946,0.243799
323.441,-0.24357,-0.0902112,-0.184031,-0.0793859,-0.17501,-0.14073,-0.229137,-0.144338,0.240523
323.541,-0.241766,-0.088407,-0.184031,-0.0775817,-0.173206,-0.137121,-0.225528,-0.14073,0.237499
323.541,-0.239962,-0.0847986,-0.182227,-0.072169,-0.171401,-0.133513,-0.223724,-0.137121,0.234119
323.541,-0.238158,-0.0811901,-0.180422,-0.0703648,-0.169597,-0.129904,-0.220115,-0.135317,0.230876
323.641,-0.236353,-0.0793859,-0.17501,-0.0667563,-0.167793,-0.126296,-0.218311,-0.131708,0.227135
323.641,-0.234549,-0.0757774,-0.178618,-0.0631479,-0.165989,-0.122687,-0.216507,-0.1281,0.225021
323.641,-0.234549,-0.0739732,-0.176814,-0.0595394,-0.164184,-0.119079,-0.214703,-0.124492,0.2225
323.741,-0.232745,-0.072169,-0.176814,-0.0577352,-0.16238,-0.11547,-0.211094,-0.122687,0.219823
323.741,-0.230941,-0.0703648,-0.17501,-0.0541267,-0.160576,-0.113666,-0.20929,-0.119079,0.2171
323.741,-0.229137,-0.0667563,-0.173206,-0.0505183,-0.158772,-0.110058,-0.207486,-0.117275,0.214265
323.841,-0.227332,-0.0649521,-0.171401,-0.0487141,-0.156968,-0.108253,-0.205682,-0.113666,0.211679
323.841,-0.223724,-0.0631479,-0.169597,-0.0469098,-0.155163,-0.106449,-0.202073,-0.111862,0.208421
323.841,-0.22192,-0.0613436,-0.167793,-0.0451056,-0.151555,-0.102841,-0.198465,-0.110058,0.205089
323.941,-0.220115,-0.0595394,-0.167793,-0.0414972,-0.149751,-0.101037,-0.194856,-0.108253,0.202604
