Timestamp,error_x0,error_y0,error_x1,error_y1,error_x2,error_y2,error_x3,error_y3,RMSE
322.641,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.641,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.641,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.149751,-0.216507,-0.149751,-0.216507,-0.214703,-0.281459,-0.214703,0.311943
322.741,-0.281459,-0.147946,-0.216507,-0.147946,-0.211094,-0.214703,-0.281459,-0.212899,0.310272
322.741,-0.277851,-0.146142,-0.211094,-0.146142,-0.214703,-0.212899,-0.279655,-0.211094,0.30768
322.841,-0.277851,-0.146142,-0.211094,-0.146142,-0.214703,-0.212899,-0.279655,-0.211094,0.30768
322.841,-0.279655,-0.146142,-0.214703,-0.142534,-0.212899,-0.20929,-0.277851,-0.20929,0.306639
322.841,-0.276046,-0.142534,-0.20929,-0.142534,-0.212899,-0.207486,-0.276046,-0.207486,0.303424
322.941,-0.276046,-0.142534,-0.20929,-0.142534,-0.212899,-0.207486,-0.276046,-0.207486,0.303424
322.941,-0.276046,-0.14073,-0.212899,-0.138925,-0.20929,-0.202073,-0.274242,-0.205682,0.301157
322.941,-0.276046,-0.14073,-0.212899,-0.137121,-0.20929,-0.202073,-0.274242,-0.203877,0.300643
323.041,-0.276046,-0.138925,-0.211094,-0.137121,-0.20929,-0.202073,-0.272438,-0.202073,0.299398
323.041,-0.274242,-0.137121,-0.211094,-0.135317,-0.20929,-0.200269,-0.272438,-0.200269,0.297961
323.041,-0.274242,-0.137121,-0.211094,-0.133513,-0.207486,-0.198465,-0.270634,-0.198465,0.296423
323.141,-0.274242,-0.135317,-0.211094,-0.131708,-0.207486,-0.19666,-0.268829,-0.198465,0.295301
323.141,-0.272438,-0.133513,-0.20929,-0.131708,-0.205682,-0.194856,-0.268829,-0.19666,0.293435
323.141,-0.272438,-0.133513,-0.20929,-0.129904,-0.205682,-0.194856,-0.268829,-0.194856,0.292932
323.241,-0.272438,-0.131708,-0.20929,-0.1281,-0.205682,-0.193052,-0.267025,-0.193052,0.291516
323.241,-0.270634,-0.129904,-0.20929,-0.126296,-0.203877,-0.191248,-0.265221,-0.193052,0.289665
323.241,-0.270634,-0.129904,-0.207486,-0.126296,-0.203877,-0.189444,-0.265221,-0.191248,0.288744
323.341,-0.270634,-0.1281,-0.20929,-0.122687,-0.202073,-0.187639,-0.263417,-0.189444,0.287152
